providlyear;ns;ew;objekt;typmetod;Ag (ppb);Al (ppm);As (ppm);Au (ppb);Ba (ppm);Be (ppm);Bi (ppm);Ca (ppm);Cd (ppm);Ce (ppm);Co (ppm);Cr (ppm);Cs (ppm);Cu (ppm);Dy (ppm);Er (ppm);Eu (ppm);Fe (ppm);Ga (ppm);Gd (ppm);Hf (ppm);Ho (ppm);K (ppm);La (ppm);Li (ppm);Lu (ppm);Mg (ppm);Mn (ppm);Mo (ppm);Na (ppm);Nb (ppm);Nd (ppm);Ni (ppm);P (ppm);Pb (ppm);Pd (ppb);Pr (ppm);Rb (ppm);Rh (ppb);S (ppm);Sb (ppm);Sc (ppm);Sm (ppm);Sn (ppm);Sr (ppm);Tb (ppm);Te (ppb);Th (ppm);Ti (ppm);Tl (ppm);Tm (ppm);U (ppm);V (ppm);W (ppm);Y (ppm);Yb (ppm);Zn (ppm);Zr (ppm)
198381348;6874876;577630;KJPA;ICPALSX;;18913.4004;2.3260;;59.7500;0.8890;0.2380;3304.2600;0.0907;110.5130;6.4470;21.2000;2.0020;10.1050;5.3640;3.1000;0.6810;19716.6992;6.3830;5.7920;0.5730;1.1050;1884.1700;35.4450;15.7940;0.3600;3391.1299;267.9950;0.2560;246.4890;4.5520;32.8290;11.9780;667.3330;11.4330;85.9000;8.7650;24.5080;;93.7860;0.0882;6.0040;6.7590;2.2750;20.5390;0.9190;;17.8020;1782.3600;0.2100;0.4230;2.6900;31.9860;0.7420;28.6010;2.6890;39.8800;20.7970
198381348;6874876;577630;KJPA;ICPSGUX;58.6810;;;0.2470;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.4360;;;;;;;;14.1380;;;;;;;;;;;
198381363;6885557;587205;KJPA;ICPALSX;;21757.6992;2.3670;;85.4990;0.7620;0.7110;3694.1699;0.1200;82.0160;10.6930;34.2350;3.8510;41.1460;4.7540;2.3280;0.5360;31019.0996;8.6720;5.8710;0.3930;0.8810;4173.9600;30.7380;30.1130;0.2500;6818.5601;408.7800;0.3160;333.4230;4.7310;30.6700;19.5170;864.0500;9.2650;78.9000;8.0060;49.7420;;51.7600;0.0531;7.9980;6.5580;2.5680;13.6390;0.8570;;14.6410;2487.0000;0.3990;0.2900;2.7240;47.5950;0.7130;22.8180;1.7760;74.6620;15.2740
198381363;6885557;587205;KJPA;ICPSGUX;58.7020;;;0.6810;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.2360;;;;;;;;16.4710;;;;;;;;;;;
198381444;6937751;576192;KJPA;ICPALSX;;16525.0996;2.6230;;40.4280;0.8810;0.2430;2813.5300;0.0499;77.5080;8.1990;20.9530;2.4180;15.0670;3.4620;1.5360;0.5760;16284.5000;5.0790;4.6990;0.1690;0.6320;1581.4800;35.2220;20.8360;0.1790;3049.9299;385.1790;0.3580;258.7860;4.2070;32.9660;21.7200;534.3280;7.1370;123.0000;8.7310;22.4320;;101.1710;0.0560;3.7760;6.1480;1.0260;14.5510;0.6570;;10.8410;1509.9000;0.2250;0.2190;2.3390;29.7650;0.5600;16.1120;1.3790;34.0210;7.1740
198381444;6937751;576192;KJPA;ICPSGUX;82.7570;;;1.2950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.3820;;;;;;;;16.6190;;;;;;;;;;;
198381484;6937666;585851;KJPA;ICPALSX;;25912.0996;3.8770;;69.0380;0.8020;0.5100;2841.3999;0.1000;82.8640;12.4410;31.5880;3.9930;22.2010;3.1710;1.5010;0.5550;25826.6992;7.4150;4.3970;0.3930;0.5860;3007.7000;30.9880;26.6000;0.1670;5539.6099;458.7690;0.1980;568.0760;4.6680;28.7400;26.5390;706.5640;11.0030;68.6000;7.6610;41.5390;;62.5500;0.0828;5.4770;5.6590;1.4620;17.8210;0.6090;;11.2550;1739.8600;0.3540;0.1970;2.0850;43.1340;0.4970;15.1660;1.2530;48.1140;14.7920
198381484;6937666;585851;KJPA;ICPSGUX;40.7500;;;3.0550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.5620;;;;;;;;23.9860;;;;;;;;;;;
198381519;6922340;574610;KJPA;ICPALSX;;15158.7998;10.8500;;32.9470;0.9060;2.3660;3808.9800;0.1370;90.1360;10.1940;27.5150;4.4200;16.7960;4.5360;1.9260;0.6080;19462.0000;5.4330;5.9850;0.3040;0.7700;2817.3701;40.9780;32.8450;0.1980;4861.8301;340.6560;0.3490;310.3350;4.1400;37.4570;23.7880;904.7550;13.4670;61.1000;10.1820;35.5200;;68.2490;0.0839;4.8560;7.4900;1.5540;15.0500;0.8440;;15.0890;1682.1300;0.2800;0.2360;6.7220;35.6970;0.7630;19.9410;1.4500;53.7800;10.9050
198381519;6922340;574610;KJPA;ICPSGUX;63.1410;;;0.9420;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.6920;;;;;;;;32.1560;;;;;;;;;;;
198381526;6922917;586815;KJPA;ICPALSX;;17798.1992;3.3440;;75.9170;0.7050;0.4650;4052.1101;0.0540;103.4450;8.1000;23.5070;3.5940;20.0310;3.7790;1.7360;0.6580;22708.9004;6.3500;5.3060;0.4550;0.6850;2626.9299;42.6980;24.2540;0.2070;4660.6401;420.2130;0.1650;399.3410;3.1690;38.1560;22.1990;629.9040;10.0560;84.5000;10.4150;37.0100;;22.7780;0.0909;5.3190;7.3220;1.3640;21.6890;0.7450;;15.0480;1945.9100;0.3540;0.2200;2.5220;37.6770;0.4660;21.3280;1.4290;44.8240;19.1690
198381526;6922917;586815;KJPA;ICPSGUX;59.8890;;;3.5070;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.9760;;;;;;;;21.1150;;;;;;;;;;;
198381550;6912479;591559;KJPA;ICPALSX;;14492.9004;2.3520;;36.7320;0.6210;0.3950;4295.1699;0.0859;82.6180;10.2530;22.5010;1.8380;18.0060;4.1720;1.9800;0.6040;15487.2998;4.2120;5.6990;0.3760;0.7680;1747.6000;35.8020;14.8700;0.2100;4057.0300;394.8550;0.1690;472.2580;3.5690;32.7170;23.0820;935.7290;9.0180;64.9000;8.8240;20.9870;;41.1130;0.0743;3.7420;6.5980;1.0590;18.9180;0.8340;;14.6450;1559.4100;0.2460;0.2470;2.5670;37.6540;0.6950;19.1150;1.5010;36.3400;12.7290
198381550;6912479;591559;KJPA;ICPSGUX;43.2380;;;0.5350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8.3760;;;;;;;;15.4950;;;;;;;;;;;
198381562;6899930;590160;KJPA;ICPALSX;;33167.0000;3.4700;;57.1170;1.0770;0.4310;5992.1201;0.1170;94.9190;18.5160;36.8190;2.9990;23.4260;4.6110;2.1590;0.8640;29301.0996;7.3330;5.9870;0.1660;0.8340;2104.1201;39.0830;22.3880;0.2310;6834.5098;707.8320;0.4790;575.0650;4.4510;35.6510;37.1160;1203.3500;12.0040;104.0000;9.6530;26.7460;;150.5570;0.1240;6.9560;7.1160;1.1800;23.6060;0.8420;;11.9790;2354.0501;0.3060;0.2670;2.9290;58.3330;0.7460;24.0710;1.7100;56.2960;8.4060
198381562;6899930;590160;KJPA;ICPSGUX;50.0270;;;0.8100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.8170;;;;;;;;34.4960;;;;;;;;;;;
198381572;6899507;575434;KJPA;ICPALSX;;21155.5996;5.7200;;71.0950;0.9000;0.5240;4549.1802;0.1550;88.5090;14.1220;32.3360;3.7530;20.7030;3.9250;1.9780;0.7300;24777.6992;6.4560;5.0630;0.2800;0.7450;2428.0701;35.3510;25.3370;0.2340;5520.8398;652.9090;0.4210;338.4590;4.2500;32.0340;35.7480;1014.2000;13.5800;67.8000;8.7230;34.2150;;46.2810;0.1700;5.2010;6.5900;1.6690;21.7590;0.7250;;12.7330;1938.6400;0.3460;0.2530;2.0120;50.4530;1.4500;21.7720;1.8230;55.4150;13.0670
198381572;6899507;575434;KJPA;ICPSGUX;48.1030;;;0.4020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.9780;;;;;;;;27.7720;;;;;;;;;;;
198381581;6911898;575415;KJPA;ICPALSX;;26726.6992;4.0950;;70.2830;0.8600;0.4800;4611.5898;0.1160;98.2830;13.4460;32.5370;3.6190;27.4640;4.4130;2.1490;0.8020;28149.0000;7.7170;5.5460;0.3180;0.8230;2556.2500;36.1630;22.1640;0.2280;6406.5098;587.6140;0.3980;372.5690;4.1840;32.9510;35.0980;1090.0200;12.4220;74.7000;9.0000;35.5660;;55.8710;0.1590;6.0990;6.7630;1.4970;21.6900;0.8100;;12.3490;2128.0200;0.3690;0.2790;1.9480;56.3020;0.7220;22.6190;1.7050;53.3650;13.1690
198381581;6911898;575415;KJPA;ICPSGUX;58.0680;;;0.4190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.1280;;;;;;;;22.6460;;;;;;;;;;;
198381612;6911973;542559;KJPA;ICPALSX;;28924.8008;43.0400;;141.8450;1.2460;0.6150;4232.5200;0.1200;94.2000;17.5160;101.2850;11.2200;49.8670;4.1550;1.9650;0.8630;38762.3984;10.2460;5.5550;0.7280;0.7640;7049.5298;44.1260;44.5690;0.2320;11361.2998;475.4180;0.9080;383.7800;1.9820;36.4120;58.3150;885.9860;12.9220;134.0000;10.0000;72.6830;;21.5450;1.0560;8.7960;6.8620;2.6800;26.5970;0.7860;;13.5190;2766.1499;0.5290;0.2560;2.9500;68.4130;1.1260;20.6920;1.6530;76.3130;29.5380
198381612;6911973;542559;KJPA;ICPSGUX;73.5120;;;3.7480;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.4550;;;;;;;;33.5960;;;;;;;;;;;
